# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\Mario48.png	167	231	255
1	textures\enemy.png	0	255	255
2	textures\misc_x3.png	117	255	255
3	textures\uix3.png	255	127	39
4	textures\reward_x3.png	255	255	255
5	textures\goal.png	0	0	0
6	textures\owx3.png	8	212	248
7	textures\Introx3.png	255	216	154
8	textures\blackbg.png	167	231	255
9	textures\pipe.png	95	205	228
#change litte bit: id	left	top	witdth	 height	tex_id
[SPRITES]
#--------intro------
#curtain
90000	21	72	912	582	0	0	7
90010	21	702	912	42	0	0	7
#floor
90001	150	966	816	102	0	0	7
#bush right then left
90002	1002	96	165	288	0	0	7
90003	996	732	168	192	0	0	7
#tittle
90004	141	1128	537	339	268	169	7
90005	145	1556	537	339	268	169	7
90006	765	1552	537	339	268	169	7
90007	146	1958	537	339	268	169	7
#choose
90008	120	2340	337	121	168	60	7
90009	468	2340	337	121	168	60	7
#-------OverWorld------
80000	3	51	48	45	0	0	6
80001	54	51	48	45	0	0	6
80002	105	51	48	45	0	0	6
80003	156	51	48	45	0	0	6
#HUD
#font
0	231	93	24	21	12	0	3
1	264	93	18	21	9	0	3
2	291	93	24	21	12	0	3
3	321	93	24	21	12	0	3
4	351	93	24	21	12	0	3
5	381	93	24	21	12	0	3
6	411	93	24	21	12	0	3
7	441	93	24	21	12	0	3
8	471	93	24	21	12	0	3
9	501	93	24	21	12	0	3
#points
100	183	267	33	24	0	0	3
200	225	267	36	24	0	0	3
400	270	267	36	24	0	0	3
800	315	267	36	24	0	0	3
1000	360	267	45	24	0	0	3
2000	414	267	48	24	0	0	3
4000	471	267	48	24	0	0	3
8000	528	267	48	24	0	0	3
8001	585	267	48	24	0	0	3
#bar
10	192	486	24	21	12	0	3
11	273	486	24	21	12	0	3
12	219	486	45	21	22	0	3
13	300	486	45	21	22	0	3
#card icon
14	530	322	48	48	24	24	3
15	583	322	48	48	24	24	3
16	636	322	48	48	24	24	3
#card
17	538	477	72	84	0	0	3
18	617	477	72	84	0	0	3
19	696	477	72	84	0	0	3
#endgametext
20	12	1044	744	219	372	110	5
#blackbg
21	0	0	816	150	0	0	8
#pipe (black & green)
22	0	0	96	48	0	0	9
23	0	48	96	48	0	0	9
24	0	96	96	48	0	0	9
25	0	144	96	48	0	0	9
#MARIO (idle - walk - skid - jump  - run - die - hold idle - hold run - kick)
# SMALL MARIO
# idle
10000	756	24	48	48	24	25	0
# walk
10001	807	24	48	48	24	25	0
# skid
10002	855	24	48	48	24	25	0
# jump
10003	912	24	48	48	24	26	0
# run max speed
10004	969	24	48	48	24	25	0
10005	1023	24	48	48	24	25	0
# jump max speed
10006	1080	24	48	48	24	25	0
# warp
10007	1191	24	48	48	24	25	0
# die 
10008	1248	24	48	48	24	25	0
#hold idle
10009	1305	24	42	48	24	25	0
#hold run
10010	1356	24	45	48	24	25	0
#kick
10011	1410	24	48	48	24	25	0


# BIG MARIO 
# idle
10100	591	144	42	81	21	40	0
# walk
10101	642	144	48	81	24	40	0
10102	699	144	48	81	21	40	0
#skid	
10103	756	141	48	84	21	43	0
# jump
10104	813	144	48	81	24	40	0
# run max speed
10105	870	144	57	81	30	40	0
10106	936	144	57	81	30	40	0
10107	1005	144	57	81	30	40	0
# jump max speed	
10108	1071	144	57	81	30	40	0
#crouch
10109	1137	171	42	54	21	27	0
#warp
10110	1245	144	48	81	24	40	0
#hold idle
10111	1302	144	42	81	21	40	0
#hold run
10112	1353	144	45	81	24	40	0
10113	1407	144	48	81	27	40	0
#kick
10114	1464	144	63	81	21	40	0

# FIRE MARIO
#idle
10200	618	327	42	81	21	40	0
#walk
10201	669	327	48	81	24	40	0
10202	726	327	48	81	21	40	0
#skid
10203	783	324	48	84	21	43	0
#attack
10204	840	327	42	81	21	40	0
10205	891	327	42	81	21	40	0
#jump	
10206	942	327	48	81	24	40	0
#run max speed
10207	999	327	57	81	30	40	0
10208	1065	327	57	81	30	40	0
10209	1134	327	57	81	30	40	0
#jump max speed
10210	1200	327	57	81	30	40	0
#crouch
